THRESH	ACC	PREC	REC	F1	FAR	FRR
0.1000	0.2686	0.2686	1.0000	0.4235	1.0000	0.0000
0.1100	0.2686	0.2686	1.0000	0.4235	1.0000	0.0000
0.1200	0.2686	0.2686	1.0000	0.4235	1.0000	0.0000
0.1300	0.2686	0.2686	1.0000	0.4235	1.0000	0.0000
0.1400	0.2686	0.2686	1.0000	0.4235	1.0000	0.0000
0.1500	0.2694	0.2688	1.0000	0.4238	0.9989	0.0000
0.1600	0.2702	0.2691	1.0000	0.4240	0.9979	0.0000
0.1700	0.2702	0.2691	1.0000	0.4240	0.9979	0.0000
0.1800	0.2702	0.2691	1.0000	0.4240	0.9979	0.0000
0.1900	0.2733	0.2699	1.0000	0.4251	0.9936	0.0000
0.2000	0.2787	0.2714	1.0000	0.4269	0.9862	0.0000
0.2100	0.2911	0.2748	1.0000	0.4312	0.9692	0.0000
0.2200	0.3020	0.2779	1.0000	0.4349	0.9544	0.0000
0.2300	0.3230	0.2841	1.0000	0.4425	0.9257	0.0000
0.2400	0.3455	0.2910	1.0000	0.4508	0.8949	0.0000
0.2500	0.3828	0.3029	0.9971	0.4646	0.8429	0.0029
0.2600	0.4278	0.3191	0.9971	0.4835	0.7813	0.0029
0.2700	0.4783	0.3393	0.9942	0.5059	0.7113	0.0058
0.2800	0.5334	0.3645	0.9913	0.5330	0.6348	0.0087
0.2900	0.5769	0.3860	0.9740	0.5529	0.5690	0.0260
0.3000	0.6366	0.4234	0.9740	0.5902	0.4873	0.0260
0.3100	0.6739	0.4501	0.9653	0.6140	0.4331	0.0347
0.3200	0.7158	0.4854	0.9624	0.6453	0.3747	0.0376
0.3300	0.7601	0.5294	0.9624	0.6831	0.3142	0.0376
0.3400	0.7911	0.5656	0.9595	0.7117	0.2707	0.0405
0.3500	0.8238	0.6092	0.9595	0.7452	0.2261	0.0405
0.3600	0.8556	0.6587	0.9595	0.7812	0.1826	0.0405
0.3700	0.8766	0.6977	0.9538	0.8059	0.1518	0.0462
0.3800	0.8952	0.7360	0.9509	0.8298	0.1253	0.0491
0.3900	0.9161	0.7874	0.9422	0.8579	0.0934	0.0578
0.4000	0.9309	0.8270	0.9393	0.8796	0.0722	0.0607
0.4100	0.9410	0.8553	0.9393	0.8953	0.0584	0.0607
0.4200	0.9480	0.8760	0.9393	0.9066	0.0488	0.0607
0.4300	0.9534	0.8972	0.9335	0.9150	0.0393	0.0665
0.4400	0.9581	0.9148	0.9306	0.9226	0.0318	0.0694
0.4500	0.9635	0.9359	0.9277	0.9318	0.0234	0.0723
0.4600	0.9643	0.9438	0.9220	0.9327	0.0202	0.0780
0.4700	0.9658	0.9521	0.9191	0.9353	0.0170	0.0809
0.4800	0.9651	0.9574	0.9104	0.9333	0.0149	0.0896
0.4900	0.9682	0.9692	0.9104	0.9389	0.0106	0.0896
0.5000	0.9682	0.9781	0.9017	0.9383	0.0074	0.0983
0.5100	0.9697	0.9873	0.8988	0.9410	0.0042	0.1012
0.5200	0.9666	0.9903	0.8844	0.9344	0.0032	0.1156
0.5300	0.9658	0.9935	0.8786	0.9325	0.0021	0.1214
0.5400	0.9604	0.9933	0.8584	0.9209	0.0021	0.1416
0.5500	0.9604	0.9933	0.8584	0.9209	0.0021	0.1416
0.5600	0.9589	0.9933	0.8526	0.9176	0.0021	0.1474
0.5700	0.9581	0.9932	0.8497	0.9159	0.0021	0.1503
0.5800	0.9557	0.9932	0.8410	0.9108	0.0021	0.1590
0.5900	0.9542	0.9965	0.8324	0.9071	0.0011	0.1676
0.6000	0.9519	0.9965	0.8237	0.9019	0.0011	0.1763
0.6100	0.9495	0.9965	0.8150	0.8967	0.0011	0.1850
0.6200	0.9480	0.9964	0.8092	0.8931	0.0011	0.1908
0.6300	0.9472	0.9964	0.8064	0.8914	0.0011	0.1936
0.6400	0.9464	0.9964	0.8035	0.8896	0.0011	0.1965
0.6500	0.9402	0.9963	0.7803	0.8752	0.0011	0.2197
0.6600	0.9340	0.9962	0.7572	0.8604	0.0011	0.2428
0.6700	0.9301	0.9961	0.7428	0.8510	0.0011	0.2572
0.6800	0.9247	0.9960	0.7225	0.8375	0.0011	0.2775
0.6900	0.9161	0.9958	0.6908	0.8157	0.0011	0.3092
0.7000	0.9099	0.9957	0.6676	0.7993	0.0011	0.3324
0.7100	0.9068	0.9956	0.6561	0.7909	0.0011	0.3439
0.7200	0.9045	0.9956	0.6474	0.7846	0.0011	0.3526
0.7300	0.9037	0.9955	0.6445	0.7825	0.0011	0.3555
0.7400	0.9006	0.9955	0.6329	0.7739	0.0011	0.3671
0.7500	0.8905	1.0000	0.5925	0.7441	0.0000	0.4075
0.7600	0.8797	1.0000	0.5520	0.7114	0.0000	0.4480
0.7700	0.8680	1.0000	0.5087	0.6743	0.0000	0.4913
0.7800	0.8595	1.0000	0.4769	0.6458	0.0000	0.5231
0.7900	0.8416	1.0000	0.4104	0.5820	0.0000	0.5896
0.8000	0.8269	1.0000	0.3555	0.5245	0.0000	0.6445
0.8100	0.8175	1.0000	0.3208	0.4858	0.0000	0.6792
0.8200	0.8075	1.0000	0.2832	0.4414	0.0000	0.7168
0.8300	0.7919	1.0000	0.2254	0.3679	0.0000	0.7746
0.8400	0.7748	1.0000	0.1618	0.2786	0.0000	0.8382
0.8500	0.7632	1.0000	0.1185	0.2119	0.0000	0.8815
0.8600	0.7593	1.0000	0.1040	0.1885	0.0000	0.8960
0.8700	0.7531	1.0000	0.0809	0.1497	0.0000	0.9191
0.8800	0.7469	1.0000	0.0578	0.1093	0.0000	0.9422
0.8900	0.7430	1.0000	0.0434	0.0831	0.0000	0.9566
0.9000	0.7391	1.0000	0.0289	0.0562	0.0000	0.9711
0.9100	0.7391	1.0000	0.0289	0.0562	0.0000	0.9711
0.9200	0.7391	1.0000	0.0289	0.0562	0.0000	0.9711
0.9300	0.7391	1.0000	0.0289	0.0562	0.0000	0.9711
0.9400	0.7368	1.0000	0.0202	0.0397	0.0000	0.9798
0.9500	0.7368	1.0000	0.0202	0.0397	0.0000	0.9798
