THRESH	ACC	PREC	REC	F1	FAR	FRR
0.1000	0.2680	0.2680	1.0000	0.4227	1.0000	0.0000
0.1100	0.2680	0.2680	1.0000	0.4227	1.0000	0.0000
0.1200	0.2680	0.2680	1.0000	0.4227	1.0000	0.0000
0.1300	0.2680	0.2680	1.0000	0.4227	1.0000	0.0000
0.1400	0.2680	0.2680	1.0000	0.4227	1.0000	0.0000
0.1500	0.2680	0.2680	1.0000	0.4227	1.0000	0.0000
0.1600	0.2680	0.2680	1.0000	0.4227	1.0000	0.0000
0.1700	0.2688	0.2682	1.0000	0.4230	0.9989	0.0000
0.1800	0.2688	0.2682	1.0000	0.4230	0.9989	0.0000
0.1900	0.2727	0.2693	1.0000	0.4243	0.9937	0.0000
0.2000	0.2789	0.2709	1.0000	0.4264	0.9852	0.0000
0.2100	0.2889	0.2737	1.0000	0.4298	0.9714	0.0000
0.2200	0.3021	0.2775	1.0000	0.4344	0.9534	0.0000
0.2300	0.3168	0.2818	1.0000	0.4396	0.9333	0.0000
0.2400	0.3493	0.2917	1.0000	0.4517	0.8889	0.0000
0.2500	0.3850	0.3035	1.0000	0.4657	0.8402	0.0000
0.2600	0.4253	0.3180	1.0000	0.4826	0.7852	0.0000
0.2700	0.4717	0.3356	0.9913	0.5015	0.7185	0.0087
0.2800	0.5252	0.3596	0.9884	0.5274	0.6444	0.0116
0.2900	0.5879	0.3929	0.9855	0.5618	0.5577	0.0145
0.3000	0.6297	0.4183	0.9769	0.5858	0.4974	0.0231
0.3100	0.6824	0.4566	0.9740	0.6218	0.4243	0.0260
0.3200	0.7250	0.4934	0.9740	0.6550	0.3661	0.0260
0.3300	0.7591	0.5276	0.9653	0.6823	0.3164	0.0347
0.3400	0.7893	0.5623	0.9653	0.7106	0.2751	0.0347
0.3500	0.8257	0.6118	0.9566	0.7463	0.2222	0.0434
0.3600	0.8521	0.6541	0.9509	0.7750	0.1841	0.0491
0.3700	0.8784	0.7032	0.9451	0.8064	0.1460	0.0549
0.3800	0.8931	0.7342	0.9422	0.8253	0.1249	0.0578
0.3900	0.9163	0.7931	0.9306	0.8564	0.0889	0.0694
0.4000	0.9272	0.8247	0.9249	0.8719	0.0720	0.0751
0.4100	0.9326	0.8435	0.9191	0.8797	0.0624	0.0809
0.4200	0.9419	0.8712	0.9191	0.8945	0.0497	0.0809
0.4300	0.9473	0.8883	0.9191	0.9034	0.0423	0.0809
0.4400	0.9535	0.9109	0.9162	0.9135	0.0328	0.0838
0.4500	0.9558	0.9288	0.9046	0.9165	0.0254	0.0954
0.4600	0.9597	0.9428	0.9046	0.9233	0.0201	0.0954
0.4700	0.9636	0.9572	0.9046	0.9302	0.0148	0.0954
0.4800	0.9644	0.9688	0.8960	0.9309	0.0106	0.1040
0.4900	0.9644	0.9747	0.8902	0.9305	0.0085	0.1098
0.5000	0.9651	0.9808	0.8873	0.9317	0.0063	0.1127
0.5100	0.9636	0.9807	0.8815	0.9285	0.0063	0.1185
0.5200	0.9613	0.9868	0.8671	0.9231	0.0042	0.1329
0.5300	0.9620	0.9901	0.8671	0.9245	0.0032	0.1329
0.5400	0.9613	0.9901	0.8642	0.9228	0.0032	0.1358
0.5500	0.9589	0.9900	0.8555	0.9178	0.0032	0.1445
0.5600	0.9589	0.9900	0.8555	0.9178	0.0032	0.1445
0.5700	0.9589	0.9900	0.8555	0.9178	0.0032	0.1445
0.5800	0.9574	0.9899	0.8497	0.9145	0.0032	0.1503
0.5900	0.9566	0.9932	0.8439	0.9125	0.0021	0.1561
0.6000	0.9543	0.9931	0.8353	0.9074	0.0021	0.1647
0.6100	0.9512	0.9930	0.8237	0.9005	0.0021	0.1763
0.6200	0.9466	0.9964	0.8035	0.8896	0.0011	0.1965
0.6300	0.9466	0.9964	0.8035	0.8896	0.0011	0.1965
0.6400	0.9458	0.9964	0.8006	0.8878	0.0011	0.1994
0.6500	0.9419	0.9963	0.7861	0.8788	0.0011	0.2139
0.6600	0.9380	0.9963	0.7717	0.8697	0.0011	0.2283
0.6700	0.9357	0.9962	0.7630	0.8642	0.0011	0.2370
0.6800	0.9287	0.9961	0.7370	0.8472	0.0011	0.2630
0.6900	0.9218	0.9960	0.7110	0.8297	0.0011	0.2890
0.7000	0.9171	0.9959	0.6936	0.8177	0.0011	0.3064
0.7100	0.9117	0.9957	0.6734	0.8034	0.0011	0.3266
0.7200	0.9055	0.9956	0.6503	0.7867	0.0011	0.3497
0.7300	0.9001	0.9954	0.6301	0.7717	0.0011	0.3699
0.7400	0.8931	0.9952	0.6040	0.7518	0.0011	0.3960
0.7500	0.8908	0.9952	0.5954	0.7450	0.0011	0.4046
0.7600	0.8838	1.0000	0.5665	0.7232	0.0000	0.4335
0.7700	0.8683	1.0000	0.5087	0.6743	0.0000	0.4913
0.7800	0.8567	1.0000	0.4653	0.6351	0.0000	0.5347
0.7900	0.8412	1.0000	0.4075	0.5791	0.0000	0.5925
0.8000	0.8234	1.0000	0.3410	0.5086	0.0000	0.6590
0.8100	0.8149	1.0000	0.3092	0.4724	0.0000	0.6908
0.8200	0.8002	1.0000	0.2543	0.4055	0.0000	0.7457
0.8300	0.7816	1.0000	0.1850	0.3122	0.0000	0.8150
0.8400	0.7754	1.0000	0.1618	0.2786	0.0000	0.8382
0.8500	0.7653	1.0000	0.1243	0.2211	0.0000	0.8757
0.8600	0.7599	1.0000	0.1040	0.1885	0.0000	0.8960
0.8700	0.7506	1.0000	0.0694	0.1297	0.0000	0.9306
0.8800	0.7452	1.0000	0.0491	0.0937	0.0000	0.9509
0.8900	0.7413	1.0000	0.0347	0.0670	0.0000	0.9653
0.9000	0.7366	1.0000	0.0173	0.0341	0.0000	0.9827
0.9100	0.7366	1.0000	0.0173	0.0341	0.0000	0.9827
0.9200	0.7366	1.0000	0.0173	0.0341	0.0000	0.9827
0.9300	0.7366	1.0000	0.0173	0.0341	0.0000	0.9827
0.9400	0.7366	1.0000	0.0173	0.0341	0.0000	0.9827
0.9500	0.7366	1.0000	0.0173	0.0341	0.0000	0.9827
