CONF	IOU	F1
# Sweep Round 1
0.100	0.100	0.7574
0.100	0.200	0.7530
0.100	0.300	0.7457
0.100	0.400	0.7314
0.100	0.500	0.7000
0.100	0.600	0.6411
0.100	0.700	0.5269
0.100	0.800	0.3388
0.200	0.100	0.7788
0.200	0.200	0.7769
0.200	0.300	0.7725
0.200	0.400	0.7635
0.200	0.500	0.7380
0.200	0.600	0.6843
0.200	0.700	0.5709
0.200	0.800	0.3734
0.300	0.100	0.7643
0.300	0.200	0.7635
0.300	0.300	0.7610
0.300	0.400	0.7553
0.300	0.500	0.7362
0.300	0.600	0.6921
0.300	0.700	0.5861
0.300	0.800	0.3902
0.400	0.100	0.7374
0.400	0.200	0.7372
0.400	0.300	0.7361
0.400	0.400	0.7329
0.400	0.500	0.7202
0.400	0.600	0.6850
0.400	0.700	0.5909
0.400	0.800	0.4006
0.500	0.100	0.7005
0.500	0.200	0.7007
0.500	0.300	0.7003
0.500	0.400	0.6987
0.500	0.500	0.6908
0.500	0.600	0.6661
0.500	0.700	0.5862
0.500	0.800	0.4064
0.600	0.100	0.6438
0.600	0.200	0.6442
0.600	0.300	0.6443
0.600	0.400	0.6435
0.600	0.500	0.6400
0.600	0.600	0.6250
0.600	0.700	0.5655
0.600	0.800	0.4080
0.700	0.100	0.5544
0.700	0.200	0.5545
0.700	0.300	0.5546
0.700	0.400	0.5545
0.700	0.500	0.5535
0.700	0.600	0.5474
0.700	0.700	0.5155
0.700	0.800	0.3955
0.800	0.100	0.3374
0.800	0.200	0.3375
0.800	0.300	0.3375
0.800	0.400	0.3375
0.800	0.500	0.3375
0.800	0.600	0.3370
0.800	0.700	0.3324
0.800	0.800	0.2916
# Sweep Round 2
0.050	0.010	0.7029
0.050	0.060	0.7012
0.050	0.110	0.6983
0.050	0.160	0.6958
0.050	0.210	0.6927
0.050	0.260	0.6890
0.100	0.010	0.7601
0.100	0.060	0.7591
0.100	0.110	0.7570
0.100	0.160	0.7549
0.100	0.210	0.7526
0.100	0.260	0.7495
0.150	0.010	0.7773
0.150	0.060	0.7776
0.150	0.110	0.7762
0.150	0.160	0.7746
0.150	0.210	0.7730
0.150	0.260	0.7708
0.200	0.010	0.7789
0.200	0.060	0.7798
0.200	0.110	0.7788
0.200	0.160	0.7778
0.200	0.210	0.7766
0.200	0.260	0.7751
0.250	0.010	0.7740
0.250	0.060	0.7752
0.250	0.110	0.7746
0.250	0.160	0.7739
0.250	0.210	0.7730
0.250	0.260	0.7718
0.300	0.010	0.7633
0.300	0.060	0.7650
0.300	0.110	0.7646
0.300	0.160	0.7641
0.300	0.210	0.7634
0.300	0.260	0.7625
0.350	0.010	0.7506
0.350	0.060	0.7523
0.350	0.110	0.7521
0.350	0.160	0.7518
0.350	0.210	0.7514
0.350	0.260	0.7507
